c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
D (d-1),C (pmol cell-1),N (pmol cell-1),Si (pmol cell-1),C error,N error,Si error,V (um-3),C,N,Si,C error,N error,Si error
0.2,10.28,0.5,0.94,0.12,0.02,0.03,537.91,19.12,0.93,1.75,0.22,0.04,0.05
0.24,7.51,0.51,0.58,0.07,0.05,0.02,537.27,13.98,0.95,1.08,0.13,0.1,0.04
0.31,11.17,0.6,0.5,0.25,0.03,0.03,542.83,20.57,1.1,0.93,0.46,0.05,0.05
0.45,9.93,0.72,0.27,0.17,0.01,0.01,521.14,19.04,1.38,0.52,0.33,0.01,0.02
0.6,8.15,0.71,0.2,0.31,0.05,0.1,504.57,16.15,1.41,0.39,0.62,0.09,0.18
