c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
D (d-1),C (pmol cell-1),N (pmol cell-1),Si (pmol cell-1),C error,N error,Si error,V (um-3),C,N,Si,C error,N error,Si error
0.12,0.98,0.1,0.16,0.12,0.01,0.02,86.39,11.39,1.16,1.86,1.44,0.15,0.26
0.18,1.82,0.18,0.18,0,0,0.01,83.38,21.77,2.21,2.22,0,0,0.08
0.36,1.17,0.11,0.14,0.01,0.01,0.03,76.59,15.23,1.43,1.83,0.13,0.05,0.38
0.6,1.08,0.09,0.08,0.02,0.01,0.01,78.06,13.84,1.19,1.03,0.28,0.04,0.13
